event_id,event_name,start_date,end_date,date_precision,region,event_type,description,source_title,source_url,supporting_source_title,supporting_source_url,supporting_source_note
"EVT-2020-01","NSW bushfire-related high demand - 4 Jan 2020","2020-01-04","2020-01-04","day","NSW1","high_demand","AER reported high electricity demand together with bushfire-related network outages in NSW on 4 January; the report does not provide a demand MW value for this event.","AER Wholesale Markets Quarterly Q1 2020","https://www.aer.gov.au/system/files/Wholesale%20Markets%20Quarterly%20Q1%202020_0.pdf","","",""
"EVT-2020-02","NEM COVID-19 demand change - 1 Apr-17 May 2020","2020-04-01","2020-05-17","date_range","NEM","covid_demand_change","COVID-19 restrictions changed electricity use across the NEM from 1 April to 17 May 2020: commercial demand fell while residential demand rose. Across Q2, AEMO estimated a 2.1% NEM operational-demand reduction attributable to COVID-19; reductions were largest in New South Wales and Queensland, while South Australian operational demand increased as cooler-weather residential heating offset commercial reductions.","AEMO Quarterly Energy Dynamics Q2 2020","https://www.aemo.com.au/-/media/files/major-publications/qed/2020/qed-q2-2020.pdf","AEMO COVID-19 demand impact in Australia","https://www.aemo.com.au/newsroom/news-updates/demand-impact-australia-covid19","The former NSW and Victoria rows described the same national restriction episode and were consolidated. The 1 April-17 May window follows the exact interval printed under AEMO Figure 4; the report documents NEM-wide and regional demand effects."
"EVT-2020-04","NEM winter minimum demand record - 29 Aug 2020","2020-08-29","2020-08-29","day","NEM","minimum_demand","At 13:30 on 29 August, NEM operational demand reached a then-record winter daytime minimum of 15,365 MW. In the same interval and under the same mild, sunny, high-rooftop-PV conditions, South Australia and Victoria also set winter minimum operational-demand records of 585 MW and 3,448 MW.","AEMO A record breaking winter weekend","https://www.aemo.com.au/newsroom/news-updates/min-op-demand-records","","","The separate South Australian row was removed because AEMO reports the NEM and regional records as one simultaneous record-setting event."
"EVT-2020-06","SA solar-supplied minimum demand - 11 Oct 2020","2020-10-11","2020-10-11","day","SA1","minimum_demand","At 12:30 on 11 October South Australian operational demand fell to 300 MW, 158 MW below the 2019 minimum; total solar generation was equivalent to 100% of underlying demand during the interval.","AEMO Quarterly Energy Dynamics Q4 2020","https://www.aemo.com.au/-/media/files/major-publications/qed/2020/qed-q4-2020.pdf","AER Wholesale Markets Quarterly Q4 2020","https://www.aer.gov.au/system/files/Wholesale%20markets%20quarterly%20%E2%80%93%20Q4%202020%2811929446.1%29.pdf","Same 11 October event: AER reports 318 MW daily minimum native demand, while AEMO reports 300 MW operational demand. Values differ because the demand definitions differ."
"EVT-2020-07","NEM December solar and mild-weather demand erosion","2020-12-01","2020-12-31","month","NEM","gradual_solar_demand_shift","During December 2020, mild early-summer conditions reduced daytime cooling demand while record distributed-PV growth continued to erode midday NEM operational demand; AEMO reported the largest PV-output increases in New South Wales and Queensland.","AEMO Quarterly Energy Dynamics Q4 2020","https://www.aemo.com.au/-/media/files/major-publications/qed/2020/qed-q4-2020.pdf","AER Wholesale Markets Quarterly Q4 2020","https://www.aer.gov.au/system/files/Wholesale%20markets%20quarterly%20%E2%80%93%20Q4%202020%2811929446.1%29.pdf","December is used instead of the full quarter because AEMO singles it out for reduced cooling demand, and AER reports exceptionally mild southern conditions, high rooftop-solar output and record-low prices in the week beginning 6 December."
"EVT-2021-01","SA minimum-demand intervention - 14 Mar 2021","2021-03-14","2021-03-14","day","SA1","minimum_demand_intervention","On 14 March South Australian operational demand fell to 347 MW. AEMO issued Market Notice 83319 at 08:17 and a clause 4.8.9 instruction at 14:31; 71 MW of distributed PV was curtailed and demand returned above 400 MW at 14:43.","AEMO Maintaining operational demand in South Australia on 14 March 2021","https://www.aemo.com.au/-/media/files/electricity/nem/market_notices_and_events/power_system_incident_reports/2021/maintaining-operational-demand-in-south-australia.pdf","AEMO Solar PV curtailment initiative by SA Government supports the NEM","https://www.aemo.com.au/newsroom/media-release/solar-pv-curtailment-initiative-by-sa-government-supports-the-nem","AEMO media release describing the same 14 March 2021 intervention; the incident report is retained as the primary source because it contains the market-notice number and detailed timeline."
"EVT-2021-02","NSW lockdown demand reduction - Aug 2021","2021-08-01","2021-08-31","month","NSW1","covid_demand_change","AEMO reported that strict NSW COVID-19 restrictions combined with unusually warm August weather reduced average underlying demand by 394 MW compared with August 2020, particularly during the 06:30–08:30 morning peak.","AEMO Quarterly Energy Dynamics Q3 2021","https://www.aemo.com.au/-/media/files/major-publications/qed/2021/q3-report.pdf","","",""
"EVT-2021-03","NSW minimum demand record - 19 Sep 2021","2021-09-19","2021-09-19","day","NSW1","minimum_demand","At 12:30 on 19 September NSW operational demand reached 4,872 MW, its lowest level since Q1 2000; distributed PV supplied 2,722 MW, or 36% of underlying demand.","AEMO Quarterly Energy Dynamics Q3 2021","https://www.aemo.com.au/-/media/files/major-publications/qed/2021/q3-report.pdf","","",""
"EVT-2021-04","SA minimum demand record - 26 Sep 2021","2021-09-26","2021-09-26","day","SA1","minimum_demand","At 14:00 on 26 September South Australian operational demand reached a record minimum of 236 MW; distributed PV supplied 1,131 MW, equivalent to 83% of underlying demand.","AEMO Quarterly Energy Dynamics Q3 2021","https://www.aemo.com.au/-/media/files/major-publications/qed/2021/q3-report.pdf","AER Wholesale Markets Quarterly Q3 2021","https://www.aer.gov.au/system/files/Wholesale%20markets%20quarterly%20Q3%202021_2.pdf","Same 26 September event: AER reports 265 MW daily minimum native demand, while AEMO reports 236 MW operational demand. AER also attributes the record to warmer spring conditions and record rooftop solar output."
"EVT-2021-05","NEM minimum demand record - 17 Oct 2021","2021-10-17","2021-10-17","day","NEM","minimum_demand","At 13:00 on 17 October, NEM operational demand reached a record minimum of 12,936 MW, with distributed PV supplying 40% of NEM underlying demand. New South Wales simultaneously set a regional minimum of 4,425 MW, so the event is recorded once at NEM level.","AEMO Quarterly Energy Dynamics Q4 2021","https://www.aemo.com.au/-/media/files/major-publications/qed/2021/q4-report.pdf","","","AEMO reports the NEM and New South Wales records at the same 17 October interval; the row is therefore classified as NEM rather than NSW1."
"EVT-2021-06","SA minimum demand record - 31 Oct 2021","2021-10-31","2021-10-31","day","SA1","minimum_demand","South Australian operational demand reached a then-record minimum of 188 MW on 31 October as high rooftop solar output displaced grid-supplied operational demand.","AEMO Negative electricity demand in South Australia","https://www.aemo.com.au/newsroom/news-updates/negative-electricity-demand-in-south-australia","","",""
"EVT-2021-07","SA minimum demand record - 21 Nov 2021","2021-11-21","2021-11-21","day","SA1","minimum_demand","At approximately 13:00 on 21 November South Australian operational demand reached 104 MW; distributed PV supplied approximately 1,220 MW, or 92% of underlying demand.","AEMO Quarterly Energy Dynamics Q4 2021","https://www.aemo.com.au/-/media/files/major-publications/qed/2021/q4-report.pdf","","",""
"EVT-2022-01","SA Q2 minimum demand - 3 Apr 2022","2022-04-03","2022-04-03","day","SA1","minimum_demand","At 13:00 on 3 April South Australian operational demand reached its Q2 minimum of 346 MW; distributed PV supplied 1,473 MW, equivalent to 77% of underlying demand.","AEMO Quarterly Energy Dynamics Q2 2022","https://www.aemo.com.au/-/media/files/major-publications/qed/2022/qed-q2-2022.pdf","","",""
"EVT-2022-02","NEM cold-weather demand increase - 7-12 Jun 2022","2022-06-07","2022-06-12","date_range","NEM","high_demand","Cold conditions increased electricity demand across the NEM between 7 and 12 June; maximum operational demand was more than 1 GW higher on average than during the preceding week.","AEMO NEM market suspension and operational challenges in June 2022","https://www.aemo.com.au/-/media/files/electricity/nem/market_notices_and_events/market_event_reports/2022/nem-market-suspension-and-operational-challenges-in-june-2022.pdf","","",""
"EVT-2022-03","NEM spot market suspension begins - 15 Jun 2022","2022-06-15","2022-06-24","day","NEM","market_suspension_context","AEMO suspended the NEM spot market at 14:00 AEST on 15 June 2022. The suspension was formally lifted at 14:00 AEST on 24 June; that later date is duration context, while the recorded event date is the documented start.","AER June 2022 market events report","https://www.aer.gov.au/publications/reports/compliance/june-2022-market-events-report","AEMO NEM market suspension and operational challenges in June 2022","https://www.aemo.com.au/-/media/files/electricity/nem/market_notices_and_events/market_event_reports/2022/nem-market-suspension-and-operational-challenges-in-june-2022.pdf","Both official sources identify 15 June 2022 as the start of the suspension. The 24 June lifting date is retained in the description but is not used as the event date."
"EVT-2022-04","NEM winter minimum demand record - 28 Aug 2022","2022-08-28","2022-08-28","day","NEM","minimum_demand","On 28 August NEM operational demand reached a new winter minimum of 14,159 MW as increasing rooftop solar output reduced daytime grid demand.","AEMO New low winter demand records observed while solar generation continues to rise","https://www.aemo.com.au/newsroom/news-updates/new-low-winter-demand-records-observed-while-solar-generation-continues-to-rise","","",""
"EVT-2022-05","SA minimum demand record - 16 Oct 2022","2022-10-16","2022-10-16","day","SA1","minimum_demand","At 13:00 on 16 October South Australian operational demand reached a record minimum of 100 MW, with distributed PV supplying approximately 93% of underlying demand.","AEMO Quarterly Energy Dynamics Q4 2022","https://www.aemo.com.au/-/media/files/major-publications/qed/2022/qed-q4-2022.pdf","","",""
"EVT-2022-06","NSW minimum demand record - 29 Oct 2022","2022-10-29","2022-10-29","day","NSW1","minimum_demand","At 13:00 on 29 October NSW operational demand reached a record minimum of 4,356 MW; the same minimum was recorded again on 30 October.","AEMO Quarterly Energy Dynamics Q4 2022","https://www.aemo.com.au/-/media/files/major-publications/qed/2022/qed-q4-2022.pdf","AER Wholesale Markets Quarterly Q4 2022","https://www.aer.gov.au/system/files/Wholesale%20markets%20quarterly%20Q4%202022_1.pdf","Same 29 October event: AER reports 4,483 MW daily minimum native demand and a second native-demand low of 4,498 MW on 30 October. AEMO's 4,356 MW value is operational demand."
